"Algorithm","Sample Size","Time"
"QuickSort","1000","2.194e-06"
"QuickSortSeuil","1000","1.946e-06"
"QuickSortRandomSeuil","1000","1.94e-06"
"CountingSort","1000","0.00023436854440375807"
"QuickSort","5000","4.3887999999999997e-07"
"QuickSortSeuil","5000","3.8704e-07"
"QuickSortRandomSeuil","5000","4.4332000000000003e-07"
"CountingSort","5000","0.00023960916955259557"
"QuickSort","10000","2.1496e-07"
"QuickSortSeuil","10000","2.0448000000000002e-07"
"QuickSortRandomSeuil","10000","2.4297999999999997e-07"
"CountingSort","10000","0.00023491782434366555"
"QuickSort","50000","5.1523199999999995e-08"
"QuickSortSeuil","50000","5.06256e-08"
"QuickSortRandomSeuil","50000","5.4686000000000004e-08"
"CountingSort","50000","0.0"
"QuickSort","100000","2.44156e-08"
"QuickSortSeuil","100000","2.4001499999999998e-08"
"QuickSortRandomSeuil","100000","2.8960199999999997e-08"
"CountingSort","100000","0.0"
"QuickSort","500000","6.3404920000000005e-09"
"QuickSortSeuil","500000","6.136632e-09"
"QuickSortRandomSeuil","500000","7.105576e-09"
"CountingSort","500000","0.0"
