"Algorithm","Sample Size","Time"
"QuickSort","3000.0","2.194"
"QuickSortSeuil","3000.0","1.946"
"QuickSortRandomSeuil","3000.0","1.94"
"CountingSort","65524544","15356.892"
"QuickSort","18494.850021680093","10.972"
"QuickSortSeuil","18494.850021680093","9.676"
"QuickSortRandomSeuil","18494.850021680093","11.083"
"CountingSort","327655332","78509.222"
"QuickSort","40000.0","21.496"
"QuickSortSeuil","40000.0","20.448"
"QuickSortRandomSeuil","40000.0","24.298"
"CountingSort","655291085","153939.556"
"QuickSort","234948.50021680092","128.808"
"QuickSortSeuil","234948.50021680092","126.564"
"QuickSortRandomSeuil","234948.50021680092","136.715"
"CountingSort","3276785939","0.0"
"QuickSort","500000.0","244.156"
"QuickSortSeuil","500000.0","240.015"
"QuickSortRandomSeuil","500000.0","289.602"
"CountingSort","6553669851","0.0"
"QuickSort","2849485.0021680095","1585.123"
"QuickSortSeuil","2849485.0021680095","1534.158"
"QuickSortRandomSeuil","2849485.0021680095","1776.394"
"CountingSort","32768201964","0.0"
