"Algorithm","testset_1000_20","testset_1000_21","testset_1000_22","testset_1000_23","testset_1000_24","testset_1000_25","testset_1000_26","testset_1000_27","testset_1000_28","testset_1000_29","testset_5000_20","testset_5000_21","testset_5000_22","testset_5000_23","testset_5000_24","testset_5000_25","testset_5000_26","testset_5000_27","testset_5000_28","testset_5000_29","testset_10000_20","testset_10000_21","testset_10000_22","testset_10000_23","testset_10000_24","testset_10000_25","testset_10000_26","testset_10000_27","testset_10000_28","testset_10000_29","testset_50000_20","testset_50000_21","testset_50000_22","testset_50000_23","testset_50000_24","testset_50000_25","testset_50000_26","testset_50000_27","testset_50000_28","testset_50000_29","testset_100000_20","testset_100000_21","testset_100000_22","testset_100000_23","testset_100000_24","testset_100000_25","testset_100000_26","testset_100000_27","testset_100000_28","testset_100000_29","testset_500000_20","testset_500000_21","testset_500000_22","testset_500000_23","testset_500000_24","testset_500000_25","testset_500000_26","testset_500000_27","testset_500000_28","testset_500000_29"
"QuickSort","12.965","16.955","4.987","6.982","4.989","10.967","5.985","9.976","5.983","14.962","49.867","26.928","37.899","23.936","31.915","58.843","24.934","35.412","44.88","19.932","124.174","128.169","91.754","74.307","88.763","47.381","73.802","84.769","53.857","55.851","265.291","455.253","348.783","506.649","369.063","306.191","440.897","757.491","591.933","402.053","629.318","662.237","675.232","594.411","1029.093","1282.572","728.561","771.936","1146.606","819.808","3866.779","3280.807","4451.537","5395.7","5391.738","14266.362","4971.853","11870.107","2885.288","5546.177"
"QuickSortSeuil","11.968","17.954","5.981","5.985","3.987","11.968","4.983","9.97","5.985","12.966","51.862","26.928","39.893","24.44","31.42","52.852","40.397","34.907","37.898","19.947","94.747","96.936","77.791","64.333","121.676","46.875","83.283","84.776","51.862","52.859","265.291","452.308","373.114","640.822","366.532","324.637","483.268","503.664","606.999","316.916","628.321","850.945","631.33","601.46","1027.767","1041.305","725.06","914.584","1147.925","705.844","3388.035","3378.534","4087.422","5055.627","5106.497","14240.857","4900.041","12335.883","2907.23","5856.348"
"QuickSortRandomSeuil","2.9921000000000006","3.3909","1.6936999999999998","2.4935","2.0942","2.5927999999999995","1.9944999999999997","2.5923000000000003","2.2946","2.8916","15.757900000000001","14.112900000000002","14.6604","12.218100000000002","12.716199999999999","14.660199999999998","15.309599999999998","13.962700000000002","13.164700000000002","12.817200000000003","33.011","34.062599999999996","29.919999999999998","30.968","37.0015","37.1011","36.6047","29.52","28.124600000000004","26.6798","148.42079999999999","199.9195","162.7476","227.74909999999994","157.4343","151.8508","186.0077","186.85699999999994","198.82","170.86530000000002","459.6303999999999","391.8958","321.21449999999993","335.64549999999997","375.94460000000004","379.4944","364.7949","397.3701000000001","398.4873","331.2232","1868.7846999999997","1953.239","1899.2388999999998","2006.6444000000004","2009.3384999999998","2987.0867","1971.6852","2636.9699","1703.048","1970.1345000000001"
"CountingSort","0.997","0.995","0.997","0.995","0.999","0.996","0.996","0.997","0.996","0.996","5.984","5.984","4.986","3.99","4.987","4.988","4.987","6.981","4.987","4.987","10.971","9.974","10.971","9.973","9.974","8.976","9.973","8.976","9.973","8.976","49.485","49.863","48.869","50.871","48.869","52.859","49.867","48.869","49.933","50.865","106.712","105.223","101.878","116.688","138.629","105.717","135.638","104.327","105.717","114.694","546.055","539.077","536.598","543.062","535.084","533.583","534.582","527.59","534.571","527.59"
