"Algorithm","testset_1000_10","testset_1000_11","testset_1000_12","testset_1000_13","testset_1000_14","testset_1000_15","testset_1000_16","testset_1000_17","testset_1000_18","testset_1000_19","testset_5000_10","testset_5000_11","testset_5000_12","testset_5000_13","testset_5000_14","testset_5000_15","testset_5000_16","testset_5000_17","testset_5000_18","testset_5000_19","testset_10000_10","testset_10000_11","testset_10000_12","testset_10000_13","testset_10000_14","testset_10000_15","testset_10000_16","testset_10000_17","testset_10000_18","testset_10000_19","testset_50000_10","testset_50000_11","testset_50000_12","testset_50000_13","testset_50000_14","testset_50000_15","testset_50000_16","testset_50000_17","testset_50000_18","testset_50000_19","testset_100000_10","testset_100000_11","testset_100000_12","testset_100000_13","testset_100000_14","testset_100000_15","testset_100000_16","testset_100000_17","testset_100000_18","testset_100000_19","testset_500000_10","testset_500000_11","testset_500000_12","testset_500000_13","testset_500000_14","testset_500000_15","testset_500000_16","testset_500000_17","testset_500000_18","testset_500000_19"
"QuickSort","1.994","3.988","1.994","2.992","0.997","3.99","0.997","1.995","0.997","1.994","7.977","10.971","10.971","16.955","18.949","8.976","7.979","7.992","8.976","9.974","23.936","18.949","19.947","23.936","20.451","18.949","18.949","20.977","30.917","17.952","189.493","174.533","111.701","111.702","111.211","113.696","115.691","122.672","122.178","115.198","232.884","240.367","263.805","246.845","242.856","237.375","242.365","234.882","251.831","248.346","1515.997","1837.142","1740.902","1499.526","1463.14","1411.267","1493.05","1935.391","1468.74","1486.073"
"QuickSortSeuil","1.995","3.989","1.995","0.997","0.997","2.993","1.995","1.995","1.503","0.998","7.982","9.972","7.979","17.952","8.976","9.973","7.979","8.988","7.979","8.976","20.944","19.947","17.951","27.925","19.946","18.949","23.936","18.976","18.949","16.955","199.467","165.066","109.707","110.704","110.702","111.701","113.202","115.196","112.205","117.686","224.409","239.863","245.363","251.831","236.378","230.887","240.861","237.868","246.845","245.848","1464.123","1476.098","1416.251","1781.3","1435.207","1400.793","1680.052","1480.576","1535.105","1672.078"
"QuickSortRandomSeuil","1.6956000000000002","1.9947000000000004","2.9920000000000004","1.6955000000000002","1.6956","2.0947","1.8949000000000003","1.4964","1.9454000000000005","1.895","9.624799999999999","11.918800000000001","10.2726","13.2641","12.1675","11.4695","9.8319","11.2877","10.2232","10.7713","24.385199999999998","21.741999999999997","22.4892","24.0356","22.340499999999995","21.096000000000004","25.0329","32.737700000000004","28.4745","20.644900000000003","160.43150000000003","152.7475","136.948","128.2604","135.09269999999998","142.92199999999997","125.41839999999999","127.76270000000002","129.1568","128.40900000000002","271.3319","329.22850000000005","287.3650999999999","288.58669999999995","278.51370000000003","270.93919999999997","277.5655","283.2024","310.37829999999997","298.91089999999997","1785.0399000000002","1805.9725999999998","1755.7560999999998","1810.4218","1811.1117","1742.1428","1735.5573999999997","1832.4531000000002","1712.4888999999998","1772.9996999999998"
"CountingSort","14891.202","15487.243","15492.473","15280.16","15216.975","15561.168","15357.609","15309.96","15017.958","15954.173","78525.357","76495.273","78191.221","79339.273","80342.903","77455.198","78196.078","77996.664","78393.198","80157.052","153506.722","149932.452","155966.53","159683.944","155510.901","152789.404","157450.976","157866.613","148953.621","147734.396","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
