"Algorithm","Sample Size","Time"
"QuickSort","1000","0.0007313333333333333"
"QuickSortSeuil","1000","0.0006486666666666666"
"QuickSortRandomSeuil","1000","0.0006466666666666667"
"CountingSort","1000","0.00023436854440375807"
"QuickSort","5000","0.0005932462273085949"
"QuickSortSeuil","5000","0.0005231726663723992"
"QuickSortRandomSeuil","5000","0.0005992478980369265"
"CountingSort","5000","0.00023960916955259557"
"QuickSort","10000","0.0005373999999999999"
"QuickSortSeuil","10000","0.0005112"
"QuickSortRandomSeuil","10000","0.0006074499999999999"
"CountingSort","10000","0.00023491782434366555"
"QuickSort","50000","0.000548239294488542"
"QuickSortSeuil","50000","0.0005386882652292391"
"QuickSortRandomSeuil","50000","0.0005818934782467007"
"CountingSort","50000","0.0"
"QuickSort","100000","0.000488312"
"QuickSortSeuil","100000","0.00048003"
"QuickSortRandomSeuil","100000","0.0005792039999999999"
"CountingSort","100000","0.0"
"QuickSort","500000","0.0005562840298488923"
"QuickSortSeuil","500000","0.0005383983417469288"
"QuickSortRandomSeuil","500000","0.0006234087909388692"
"CountingSort","500000","0.0"
