"Algorithm","Sample Size","Time"
"QuickSort","1000000.0","1.396"
"QuickSortSeuil","1000000.0","1.097"
"QuickSortRandomSeuil","1000000.0","1.566"
"CountingSort","2000","0.998"
"QuickSort","25000000.0","8.777"
"QuickSortSeuil","25000000.0","8.378"
"QuickSortRandomSeuil","25000000.0","9.993"
"CountingSort","10000","1.795"
"QuickSort","100000000.0","18.95"
"QuickSortSeuil","100000000.0","18.949"
"QuickSortRandomSeuil","100000000.0","21.064"
"CountingSort","19999","3.291"
"QuickSort","2500000000.0","110.505"
"QuickSortSeuil","2500000000.0","106.715"
"QuickSortRandomSeuil","2500000000.0","127.38"
"CountingSort","100000","17.553"
"QuickSort","10000000000.0","256.02"
"QuickSortSeuil","10000000000.0","237.55"
"QuickSortRandomSeuil","10000000000.0","275.583"
"CountingSort","199999","34.308"
"QuickSort","250000000000.0","1617.616"
"QuickSortSeuil","250000000000.0","1595.327"
"QuickSortRandomSeuil","250000000000.0","1889.905"
"CountingSort","1000000","222.11"
