"Sample Size","Algorithm","Time"
"1000","QuickSort","9.226"
"1000","QuickSortSeuil","9.226"
"1000","QuickSortRandomSeuil","2.564"
"1000","CountingSort","0.942"
"5000","QuickSort","33.729"
"5000","QuickSortSeuil","33.133"
"5000","QuickSortRandomSeuil","13.184"
"5000","CountingSort","4.613"
"10000","QuickSort","68.051"
"10000","QuickSortSeuil","72.218"
"10000","QuickSortRandomSeuil","28.064"
"10000","CountingSort","9.126"
"50000","QuickSort","422.047"
"50000","QuickSortSeuil","435.042"
"50000","QuickSortRandomSeuil","168.005"
"50000","CountingSort","48.706"
"100000","QuickSort","790.277"
"100000","QuickSortSeuil","779.167"
"100000","QuickSortRandomSeuil","352.254"
"100000","CountingSort","104.854"
"500000","QuickSort","5996.297"
"500000","QuickSortSeuil","6041.978"
"500000","QuickSortRandomSeuil","2095.745"
"500000","CountingSort","547.634"
