Sample Size,Algorithm,Time
0.003075333,QuickSort,9.226
0.003075333,QuickSortSeuil,9.226
0.000854667,QuickSortRandomSeuil,2.564
0.000942,CountingSort,0.942
0.001823697,QuickSort,33.729
0.001791472,QuickSortSeuil,33.133
0.000712847,QuickSortRandomSeuil,13.184
0.0009226,CountingSort,4.613
0.001701275,QuickSort,68.051
0.00180545,QuickSortSeuil,72.218
0.0007016,QuickSortRandomSeuil,28.064
0.0009126,CountingSort,9.126
0.001796338,QuickSort,422.047
0.001851648,QuickSortSeuil,435.042
0.000715072,QuickSortRandomSeuil,168.005
0.00097412,CountingSort,48.706
0.001580554,QuickSort,790.277
0.001558334,QuickSortSeuil,779.167
0.000704508,QuickSortRandomSeuil,352.254
0.00104854,CountingSort,104.854
0.002104344,QuickSort,5996.297
0.002120375,QuickSortSeuil,6041.978
0.000735482,QuickSortRandomSeuil,2095.745
0.001095268,CountingSort,547.634
