"Algorithm","Sample Size","Time"
"QuickSort","1000","9.475"
"QuickSortSeuil","1000","9.175"
"QuickSortRandomSeuil","1000","2.503"
"CountingSort","1000","0.996"
"QuickSort","5000","35.455"
"QuickSortSeuil","5000","36.054"
"QuickSortRandomSeuil","5000","13.938"
"CountingSort","5000","5.286"
"QuickSort","10000","82.283"
"QuickSortSeuil","10000","77.514"
"QuickSortRandomSeuil","10000","32.299"
"CountingSort","10000","9.874"
"QuickSort","50000","444.36"
"QuickSortSeuil","50000","433.355"
"QuickSortRandomSeuil","50000","179.067"
"CountingSort","50000","50.035"
"QuickSort","100000","833.977"
"QuickSortSeuil","100000","827.454"
"QuickSortRandomSeuil","100000","375.57"
"CountingSort","100000","113.522"
"QuickSort","500000","6192.635"
"QuickSortSeuil","500000","6125.647"
"QuickSortRandomSeuil","500000","2100.617"
"CountingSort","500000","535.779"
