"Algorithm","Sample Size","Time"
"QuickSort","1000","1.496"
"QuickSortSeuil","1000","1.396"
"QuickSortRandomSeuil","1000","1.795"
"CountingSort","1000","0.998"
"QuickSort","5000","9.874"
"QuickSortSeuil","5000","9.575"
"QuickSortRandomSeuil","5000","11.589"
"CountingSort","5000","1.696"
"QuickSort","10000","21.842"
"QuickSortSeuil","10000","23.138"
"QuickSortRandomSeuil","10000","23.876"
"CountingSort","10000","3.69"
"QuickSort","50000","124.168"
"QuickSortSeuil","50000","124.068"
"QuickSortRandomSeuil","50000","133.204"
"CountingSort","50000","21.144"
"QuickSort","100000","248.038"
"QuickSortSeuil","100000","256.115"
"QuickSortRandomSeuil","100000","285.148"
"CountingSort","100000","36.802"
"QuickSort","500000","1498.795"
"QuickSortSeuil","500000","1486.428"
"QuickSortRandomSeuil","500000","1691.308"
"CountingSort","500000","215.125"
