Sample Size,Algorithm,Time
1000,QuickSort,0.000596
1000,QuickSortSeuil,0.000627667
1000,QuickSortRandomSeuil,0.000733667
1000,CountingSort,15.482206
5000,QuickSort,0.000651695
5000,QuickSortSeuil,0.000657048
5000,QuickSortRandomSeuil,0.00076378
5000,CountingSort,15.3262006
10000,QuickSort,0.000549325
10000,QuickSortSeuil,0.0005295
10000,QuickSortRandomSeuil,0.0006753
10000,CountingSort,15.2705842
50000,QuickSort,0.000546988
50000,QuickSortSeuil,0.000603983
50000,QuickSortRandomSeuil,0.000660289
50000,CountingSort,0
100000,QuickSort,0.000581214
100000,QuickSortSeuil,0.000583694
100000,QuickSortRandomSeuil,0.000634086
100000,CountingSort,0
500000,QuickSort,0.000604638
500000,QuickSortSeuil,0.000572975
500000,QuickSortRandomSeuil,0.000654605
500000,CountingSort,0
