"Algorithm","Sample Size","Time"
"QuickSort","1000","9.475e-06"
"QuickSortSeuil","1000","9.175000000000001e-06"
"QuickSortRandomSeuil","1000","2.503e-06"
"CountingSort","1000","0.00019951923076923076"
"QuickSort","5000","1.4182e-06"
"QuickSortSeuil","5000","1.44216e-06"
"QuickSortRandomSeuil","5000","5.5752e-07"
"CountingSort","5000","0.00021210175748334804"
"QuickSort","10000","8.2283e-07"
"QuickSortSeuil","10000","7.751399999999999e-07"
"QuickSortRandomSeuil","10000","3.2299e-07"
"CountingSort","10000","0.00019752740657757862"
"QuickSort","50000","1.77744e-07"
"QuickSortSeuil","50000","1.7334200000000002e-07"
"QuickSortRandomSeuil","50000","7.16268e-08"
"CountingSort","50000","0.00020017443000196032"
"QuickSort","100000","8.33977e-08"
"QuickSortSeuil","100000","8.27454e-08"
"QuickSortRandomSeuil","100000","3.7557e-08"
"CountingSort","100000","0.0002270494491867805"
"QuickSort","500000","2.477054e-08"
"QuickSortSeuil","500000","2.4502588e-08"
"QuickSortRandomSeuil","500000","8.402468e-09"
"CountingSort","500000","0.00021432317345136638"
