"Algorithm","Sample Size","Time"
"QuickSort","1000","0.0031583333333333333"
"QuickSortSeuil","1000","0.0030583333333333335"
"QuickSortRandomSeuil","1000","0.0008343333333333334"
"CountingSort","1000","0.00019951923076923076"
"QuickSort","5000","0.0019170201411981619"
"QuickSortSeuil","5000","0.0019494075354888883"
"QuickSortRandomSeuil","5000","0.0007536151946980675"
"CountingSort","5000","0.00021210175748334804"
"QuickSort","10000","0.0020570750000000002"
"QuickSortSeuil","10000","0.0019378499999999999"
"QuickSortRandomSeuil","10000","0.000807475"
"CountingSort","10000","0.00019752740657757862"
"QuickSort","50000","0.0018913080934330829"
"QuickSortSeuil","50000","0.0018444680412946566"
"QuickSortRandomSeuil","50000","0.0007621542586343997"
"CountingSort","50000","0.00020017443000196032"
"QuickSort","100000","0.001667954"
"QuickSortSeuil","100000","0.0016549079999999999"
"QuickSortRandomSeuil","100000","0.00075114"
"CountingSort","100000","0.0002270494491867805"
"QuickSort","500000","0.0021732470938742895"
"QuickSortSeuil","500000","0.0021497382844055495"
"QuickSortRandomSeuil","500000","0.000737191807783428"
"CountingSort","500000","0.00021432317345136638"
