"Algorithm","Sample Size","Time"
"QuickSort","1000000.0","2.194"
"QuickSortSeuil","1000000.0","1.946"
"QuickSortRandomSeuil","1000000.0","1.94"
"CountingSort","65524544","15356.892"
"QuickSort","25000000.0","10.972"
"QuickSortSeuil","25000000.0","9.676"
"QuickSortRandomSeuil","25000000.0","11.083"
"CountingSort","327655332","78509.222"
"QuickSort","100000000.0","21.496"
"QuickSortSeuil","100000000.0","20.448"
"QuickSortRandomSeuil","100000000.0","24.298"
"CountingSort","655291085","153939.556"
"QuickSort","2500000000.0","128.808"
"QuickSortSeuil","2500000000.0","126.564"
"QuickSortRandomSeuil","2500000000.0","136.715"
"CountingSort","3276785939","0.0"
"QuickSort","10000000000.0","244.156"
"QuickSortSeuil","10000000000.0","240.015"
"QuickSortRandomSeuil","10000000000.0","289.602"
"CountingSort","6553669851","0.0"
"QuickSort","250000000000.0","1585.123"
"QuickSortSeuil","250000000000.0","1534.158"
"QuickSortRandomSeuil","250000000000.0","1776.394"
"CountingSort","32768201964","0.0"
