"Algorithm","Sample Size","Time"
"QuickSort","3000.0","9.475"
"QuickSortSeuil","3000.0","9.175"
"QuickSortRandomSeuil","3000.0","2.503"
"CountingSort","4992","0.996"
"QuickSort","18494.850021680093","35.455"
"QuickSortSeuil","18494.850021680093","36.054"
"QuickSortRandomSeuil","18494.850021680093","13.938"
"CountingSort","24922","5.286"
"QuickSort","40000.0","82.283"
"QuickSortSeuil","40000.0","77.514"
"QuickSortRandomSeuil","40000.0","32.299"
"CountingSort","49988","9.874"
"QuickSort","234948.50021680092","444.36"
"QuickSortSeuil","234948.50021680092","433.355"
"QuickSortRandomSeuil","234948.50021680092","179.067"
"CountingSort","249957","50.035"
"QuickSort","500000.0","833.977"
"QuickSortSeuil","500000.0","827.454"
"QuickSortRandomSeuil","500000.0","375.57"
"CountingSort","499988","113.522"
"QuickSort","2849485.0021680095","6192.635"
"QuickSortSeuil","2849485.0021680095","6125.647"
"QuickSortRandomSeuil","2849485.0021680095","2100.617"
"CountingSort","2499865","535.779"
